Event	Depth sed [m]	Age [ka BP]	Brassicasterol/sed [µg/g]	Brassicasterol/TOC [µg/g]	Acc rate brassicasterol [µg/cm**2/ka]	Campesterol/sed [µg/g]	Campesterol/TOC [µg/g]	Acc rate campesterol [µg/cm**2/ka]	b-Sitosterol/sed [µg/g]	b-Sitosterol/TOC [µg/g]	Acc rate b-sitosterol [µg/cm**2/ka]	Dinosterol/sed [µg/g]	Dinosterol/TOC [µg/g]	Acc rate dinosterol [µg/cm**2/ka]
PS93/025-2	2.20	8.9034	0.0045	1.0214	0.1268	0.0016	0.3530	0.0438	0.0118	2.6846	0.3334	0.0155	3.5246	0.4377
PS93/025-2	2.23	9.0934	0.0153	3.0099	0.4640	0.0086	1.7017	0.2623	0.0264	5.2081	0.8029	0.0226	4.4563	0.6870
PS93/025-2	2.24	9.1549	0.0127	2.6253	0.3861	0.0070	1.4475	0.2129	0.0299	6.1785	0.9087	0.0270	5.5882	0.8219
PS93/025-2	2.25	9.1966	0.0087	1.9210	0.4436	0.0052	1.1498	0.2655	0.0233	5.1266	1.1837	0.0206	4.5372	1.0476
PS93/025-2	2.26	9.2293	0.0067	1.4913	0.3509	0.0046	1.0294	0.2422	0.0152	3.3710	0.7932	0.0163	3.6131	0.8502
PS93/025-2	2.27	9.2611	0.0069	1.5308	0.3349	0.0041	0.9017	0.1973	0.0158	3.4811	0.7616	0.0162	3.5648	0.7799
PS93/025-2	2.30	9.3559	0.0070	1.4866	0.3503	0.0056	1.1798	0.2780	0.0440	9.3274	2.1980	0.0128	2.7081	0.6382
PS93/025-2	2.32	9.4217	0.0183	3.5600	0.9104	0.0083	1.6165	0.4134	0.0254	4.9342	1.2618	0.0205	3.9809	1.0180
PS93/025-2	2.33	9.4552	0.0206	3.9748	1.1026	0.0074	1.4355	0.3982	0.0260	5.0268	1.3944	0.0280	5.4167	1.5026
PS93/025-2	2.35	9.5185	0.0344	6.4600	1.6934	0.0171	3.2140	0.8425	0.0637	11.9791	3.1401	0.0591	11.1049	2.9109
PS93/025-2	2.36	9.5525	0.0274	5.5352	1.3473	0.0144	2.9130	0.7090	0.0434	8.7666	2.1339	0.0431	8.6995	2.1175
PS93/025-2	2.37	9.5866	0.0293	5.2425	1.4376	0.0149	2.6764	0.7339	0.0438	7.8492	2.1523	0.0407	7.2866	1.9981
PS93/025-2	2.38	9.6192	0.0346	6.5958	1.7780	0.0136	2.5979	0.7003	0.0486	9.2669	2.4980	0.0553	10.5361	2.8401
PS93/025-2	2.39	9.6530	0.0239	4.3644	1.1786	0.0135	2.4707	0.6672	0.0381	6.9601	1.8796	0.0472	8.6381	2.3327
PS93/025-2	2.40	9.6868	0.0338	6.1323	1.6574	0.0148	2.6842	0.7255	0.0585	10.6233	2.8712	0.0495	8.9951	2.4311
PS93/025-2	2.43	9.7801	0.0263	5.0148	1.3637	0.0162	3.0887	0.8399	0.0546	10.4252	2.8350	0.0562	10.7279	2.9173
PS93/025-2	2.44	9.8121	0.0253	4.9142	1.3159	0.0134	2.6048	0.6975	0.0414	8.0495	2.1555	0.0475	9.2333	2.4724
PS93/025-2	2.46	9.8750	0.0233	4.5462	1.2004	0.0087	1.7025	0.4496	0.0406	7.9235	2.0922	0.0393	7.6630	2.0234
PS93/025-2	2.47	9.9092	0.0253	4.9192	1.2143	0.0131	2.5569	0.6311	0.0489	9.5056	2.3464	0.0420	8.1719	2.0172
PS93/025-2	2.48	9.9386	0.0225	4.2347	1.2634	0.0111	2.0996	0.6264	0.0417	7.8489	2.3417	0.0438	8.2461	2.4602
PS93/025-2	2.49	9.9739	0.0221	4.3355	1.0380	0.0086	1.6803	0.4023	0.0388	7.6135	1.8228	0.0425	8.3482	1.9987
PS93/025-2	2.50	10.0035	0.0200	3.8759	1.1150	0.0086	1.6780	0.4827	0.0391	7.5962	2.1852	0.0458	8.8880	2.5568
PS93/025-2	2.51	10.0382	0.0189	3.8344	0.9061	0.0064	1.3053	0.3084	0.0304	6.1723	1.4585	0.0332	6.7470	1.5943
PS93/025-2	2.52	10.0683	0.0210	4.1749	1.1517	0.0092	1.8270	0.5040	0.0353	7.0254	1.9381	0.0331	6.5872	1.8172
PS93/025-2	2.53	10.0996	0.0272	5.2041	1.4497	0.0144	2.7681	0.7711	0.0494	9.4596	2.6352	0.0449	8.6031	2.3966
PS93/025-2	2.54	10.1329	0.0242	4.5697	1.2133	0.0157	2.9601	0.7859	0.0551	10.3994	2.7610	0.0473	8.9333	2.3718
PS93/025-2	2.55	10.1664	0.0258	5.1654	1.2893	0.0129	2.5788	0.6437	0.0478	9.5633	2.3870	0.0425	8.5101	2.1241
PS93/025-2	2.56	10.2135	0.0243	4.7086	0.8617	0.0122	2.3610	0.4321	0.0507	9.8233	1.7977	0.0420	8.1457	1.4907
PS93/025-2	2.57	10.2606	0.0223	4.2476	0.7785	0.0122	2.3344	0.4278	0.0462	8.8091	1.6144	0.0441	8.4045	1.5403
PS93/025-2	2.58	10.3076	0.0263	5.0913		0.0124	2.4012		0.0442	8.5588		0.0440	8.5207	
