Depth sed [m]	Age [ka BP]	Foram/sed [#/g]	Foram benth [#/g]	Foram benth calc [#/g]	Foram benth agg [#/g]	Foram plankt [#/g]	I. helenae [#/g]	I. norcrossi [#/g]	C. neoteretis [#/g]	C. reniforme [#/g]	E. vitrea [#/g]	E. arctica [#/g]	S. horvathi [#/g]	E. clavatum [#/g]	E. albiumbilicatum [#/g]	E. frigidum [#/g]	E. hallandense [#/g]	S. feylingi [#/g]	S. concava [#/g]	S. fusiformis [#/g]	C. lobatulus [#/g]	B. frigida [#/g]	E. pulchella [#/g]	P. bulloides [#/g]	Q. stalkeri [#/g]	Q. seminulum [#/g]	A. gallowayi [#/g]	M. barleeanus [#/g]	C. arctica [#/g]	R. arctica [#/g]	N. labradorica [#/g]	N. iridea [#/g]	B. elegantissima [#/g]	M. subrotunda [#/g]	G. oculus [#/g]	P. williamsoni [#/g]	Lagena sp. [#/g]	Sagrina sp. [#/g]	T. trihedra [#/g]	T. tricarinata [#/g]	Polymorphina sp. [#/g]	T. fluens [#/g]	B. aff. albatrossi [#/g]	G. glacialis [#/g]	G. arctica [#/g]	H. nivea [#/g]	Fissurina sp. [#/g]	D. pauperata [#/g]	Ammonia sp. [#/g]	Florilus sp. [#/g]
0.50	1.4907	29.5197	29.0458	5.4842	23.5616	0.4739	0.0000	0.1354	0.7448	2.6405	0.0000	0.2031	0.0677	0.4739	0.0677	0.0000	0.0000	0.6771	0.0000	0.0000	0.0000	0.3385	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0677	0.0000	0.0000	0.0000	0.0677	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.55	1.6124	35.7586	35.5616	7.3881	28.1735	0.1970	0.0000	0.0985	0.7881	2.4627	0.0000	0.1970	0.0985	2.0687	0.0000	0.0000	0.0000	0.3940	0.0985	0.0000	0.0000	0.6896	0.0985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1970	0.0000	0.0985	0.0985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.60	1.7341	47.1157	46.6308	4.7681	41.8626	0.4849	0.0000	0.0808	0.6465	1.2931	0.0000	0.1616	0.1616	0.8082	0.0000	0.0000	0.0000	1.2931	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0808	0.1616	0.0000	0.0808	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.65	1.8557	36.7524	36.5663	10.4209	26.1454	0.1861	0.0000	0.1861	1.1165	3.7218	0.0930	1.0235	0.1861	1.9539	0.0000	0.0000	0.0000	0.9304	0.0000	0.0000	0.1861	0.0930	0.0000	0.0000	0.0930	0.0930	0.0930	0.0930	0.0000	0.0930	0.0000	0.0000	0.3722	0.0000	0.0000	0.0000	0.0930	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.70	1.9774	38.4827	38.4139	9.0872	29.3267	0.0688	0.0000	0.1377	0.6884	3.5109	0.1377	0.3442	0.1377	2.3406	0.0000	0.0000	0.0688	0.9638	0.0000	0.0000	0.3442	0.1377	0.0000	0.0000	0.0000	0.0000	0.0688	0.0688	0.0000	0.0000	0.0688	0.0000	0.0000	0.0000	0.0000	0.0000	0.0688	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.75	2.1002	40.7870	40.0076	12.0369	27.9707	0.7794	0.0000	0.1732	2.1649	5.8020	0.0000	0.3464	0.2598	1.5587	0.1732	0.0000	0.0000	0.6928	0.0000	0.0000	0.0000	0.6928	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1732	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.80	2.2232	30.7585	30.5678	7.0541	23.5137	0.1907	0.0000	0.1907	0.9533	1.8430	0.0636	0.4449	0.1271	1.9065	0.0636	0.0000	0.0000	0.2542	0.0636	0.0000	0.0000	0.8897	0.0000	0.0000	0.0000	0.0000	0.0636	0.0000	0.0000	0.0636	0.0000	0.0000	0.0636	0.0000	0.0000	0.0000	0.0636	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.85	2.3461	37.4084	36.7756	13.1492	23.6264	0.6328	0.0000	0.1406	1.4063	2.9533	0.0000	0.2109	2.5314	2.3908	0.0703	0.0000	0.0000	0.5625	0.0000	0.0000	0.0000	2.1095	0.0000	0.0000	0.0000	0.0000	0.2813	0.0703	0.0000	0.1406	0.0703	0.0000	0.0703	0.0703	0.0000	0.0000	0.0000	0.0000	0.0703	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.90	2.4691	35.3661	35.1989	6.6050	28.5939	0.1672	0.0836	0.0000	0.7525	1.4213	0.0000	0.6689	1.0869	0.9197	0.0000	0.0000	0.0000	1.0033	0.0000	0.0000	0.0000	0.5016	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0836	0.0836	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.95	2.5921	49.9715	49.3613	10.2384	39.1229	0.6102	0.0000	0.2034	0.8136	2.3053	0.1356	0.4746	1.6951	1.6273	0.1356	0.0000	0.0000	0.9493	0.0000	0.0000	0.1356	0.6780	0.0000	0.0000	0.0000	0.0000	0.0678	0.2034	0.0000	0.0000	0.0000	0.2034	0.2712	0.0678	0.0000	0.0000	0.0000	0.0000	0.2712	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
