Depth sed [m]	Age [ka BP]	TOC [%]	2000-63 µm [%]	SR [cm/ka]	MAR [g/cm**2/ka]	Acc rate TOC [g/cm**2/ka]	IP25/sed [µg/g]	IP25/TOC [µg/g]	Acc rate IP25 [µg/cm**2/ka]	Brassicasterol/sed [µg/g]	Brassicasterol/TOC [µg/g]	Acc rate brassicasterol [µg/cm**2/ka]	Dinosterol/sed [µg/g]	Dinosterol/TOC [µg/g]	Acc rate dinosterol [µg/cm**2/ka]	C25 HBI (Z) triene/sed [µg/g]	C25 HBI (Z) triene/TOC [µg/g]	Acc rate C25 HBI (Z) triene [µg/cm**2/ka]	HBI TR25	PBIP25	PDIP25	P(III)IP25
5.85	6.094	0.99																				
5.90	6.122	0.96		163.934	106.354	1.025	0.005	0.51	0.52	0.07	6.86	7.03	0.12	12.02	12.32	0.002	0.23	0.23	0.663	0.537	0.453	0.690
5.95	6.149	1.03																				
6.00	6.177	1.05	1.233	158.730	109.515	1.150	0.007	0.69	0.79	0.07	7.03	8.09	0.18	16.95	19.49	0.003	0.29	0.33	0.709	0.604	0.442	0.704
6.05	6.209	1.09																				
6.10	6.241	0.88		102.041	55.006	0.484	0.004	0.46	0.23	0.07	8.36	4.05	0.12	13.43	6.50	0.002	0.22	0.11	0.713	0.466	0.404	0.680
6.15	6.273	0.89																				
6.20	6.324	0.94		100.000	65.561	0.617	0.007	0.69	0.43	0.09	9.52	5.87	0.19	19.84	12.24	0.003	0.29	0.18	0.713	0.532	0.406	0.702
6.25	6.375	0.98																				
6.30	6.426	0.93	1.586	100.000	68.223	0.636	0.007	0.72	0.45	0.06	6.11	3.88	0.09	10.11	6.42	0.005	0.55	0.35	0.748	0.647	0.581	0.564
6.35	6.478	0.97																				
6.40	6.530	0.93		101.010	69.996	0.652	0.007	0.77	0.50	0.12	12.75	8.31	0.21	22.62	14.75	0.009	0.94	0.62	0.787	0.487	0.401	0.450
6.45	6.581	1.02																				
6.50	6.634	1.04		99.010	54.324	0.567	0.007	0.70	0.40	0.13	12.50	7.09	0.23	22.43	12.72	0.013	1.26	0.71	0.802	0.466	0.379	0.357
6.55	6.686	1.01																				
6.60	6.739	0.98	0.686	104.167	54.741	0.537	0.009	0.90	0.48	0.17	17.37	9.32	0.27	27.57	14.80	0.036	3.65	1.96	0.799	0.448	0.390	0.198
6.65	6.789	0.95																				
6.70	6.840	0.94		98.039	57.242	0.540	0.010	1.06	0.58	0.11	12.01	6.49	0.21	21.73	11.74	0.011	1.20	0.65	0.788	0.581	0.490	0.470
6.75	6.890	0.93																				
6.80	6.940	0.83		103.093	84.049	0.696	0.008	1.02	0.71	0.16	19.42	13.53	0.22	26.15	18.21	0.019	2.30	1.60	0.802	0.452	0.434	0.308
6.85	6.989	0.98																				
6.90	7.038	0.97	1.557	108.696	76.936	0.742	0.012	1.29	0.96	0.15	15.15	11.25	0.23	24.24	18.00	0.011	1.10	0.82	0.791	0.572	0.511	0.540
6.95	7.086	0.95																				
7.00	7.135	0.85		106.383	50.683	0.430	0.012	1.40	0.60	0.15	17.99	7.73	0.20	24.08	10.34	0.003	0.32	0.14	0.745	0.550	0.533	0.814
7.05	7.183	0.92																				
7.10	7.227	0.95		109.890	75.317	0.719	0.010	1.07	0.77	0.18	18.50	13.30	0.23	24.01	17.26	0.004	0.40	0.29	0.732	0.476	0.467	0.728
7.15	7.271	0.85																				
7.20	7.315	0.88	1.031	106.383	68.310	0.604	0.007	0.81	0.49	0.12	13.57	8.20	0.15	17.26	10.43	0.002	0.27	0.17	0.778	0.482	0.478	0.746
7.25	7.361	0.79																				
7.30	7.406	0.86		111.111	91.462	0.786	0.005	0.61	0.48	0.07	8.68	6.82	0.09	10.18	8.00	0.001	0.07	0.06	0.685	0.526	0.541	0.893
7.35	7.452	0.82																				
7.40	7.497	0.79		109.890	82.775	0.652	0.006	0.72	0.47	0.13	16.62	10.84	0.12	15.23	9.94	0.001	0.10	0.06	0.688	0.403	0.479	0.879
7.45	7.542	0.86																				
