lib_id,depth_in_core,age_min,age_max,age_median,core,DNA_conc_raw_extracts,cleaned_reads
SCR_082,,,,,blank,,870
SCR_089,,,,,blank,,1788
SCR_090,,,,,blank,,1523
SCR_112,,,,,blank,,932
SCR_125,,,,,blank,,5338
SCR_137,,,,,blank,,852
SCR_145,,,,,blank,,3093
SCR_156,,,,,blank,,2628
SCR_159,,,,,blank,,1613
SCR_160,,,,,blank,,1839
SCR_161,,,,,blank,,2055
